,episode reward,episode,Method
0,-0.5,1,PPO
1,-0.5,2,PPO
2,-0.1,3,PPO
3,-0.21428571428571427,4,PPO
4,-0.05555555555555555,5,PPO
5,-0.13636363636363635,6,PPO
6,0.22727272727272727,7,PPO
7,0.7727272727272727,8,PPO
8,2.0454545454545454,9,PPO
9,4.409090909090909,10,PPO
10,4.7727272727272725,11,PPO
11,6.954545454545454,12,PPO
12,8.045454545454545,13,PPO
13,10.227272727272727,14,PPO
14,11.136363636363637,15,PPO
15,11.863636363636363,16,PPO
16,13.5,17,PPO
17,14.045454545454545,18,PPO
18,16.045454545454547,19,PPO
19,16.954545454545453,20,PPO
20,16.045454545454547,21,PPO
21,16.59090909090909,22,PPO
22,15.681818181818182,23,PPO
23,17.5,24,PPO
24,17.5,25,PPO
25,18.40909090909091,26,PPO
26,20.045454545454547,27,PPO
27,21.318181818181817,28,PPO
28,22.59090909090909,29,PPO
29,23.5,30,PPO
30,24.59090909090909,31,PPO
31,23.681818181818183,32,PPO
32,24.045454545454547,33,PPO
33,23.681818181818183,34,PPO
34,22.954545454545453,35,PPO
35,22.772727272727273,36,PPO
36,24.40909090909091,37,PPO
37,23.863636363636363,38,PPO
38,21.681818181818183,39,PPO
39,22.954545454545453,40,PPO
40,21.318181818181817,41,PPO
41,21.318181818181817,42,PPO
42,23.681818181818183,43,PPO
43,24.954545454545453,44,PPO
44,28.772727272727273,45,PPO
45,29.863636363636363,46,PPO
46,32.04545454545455,47,PPO
47,33.5,48,PPO
48,34.04545454545455,49,PPO
49,34.95454545454545,50,PPO
50,34.22727272727273,51,PPO
51,33.31818181818182,52,PPO
52,30.954545454545453,53,PPO
53,31.5,54,PPO
54,30.954545454545453,55,PPO
55,28.954545454545453,56,PPO
56,26.954545454545453,57,PPO
57,23.318181818181817,58,PPO
58,21.318181818181817,59,PPO
59,23.136363636363637,60,PPO
60,21.863636363636363,61,PPO
61,22.954545454545453,62,PPO
62,26.954545454545453,63,PPO
63,28.227272727272727,64,PPO
64,28.045454545454547,65,PPO
65,29.318181818181817,66,PPO
66,32.95454545454545,67,PPO
67,33.68181818181818,68,PPO
68,36.77272727272727,69,PPO
69,38.22727272727273,70,PPO
70,36.40909090909091,71,PPO
71,38.22727272727273,72,PPO
72,38.77272727272727,73,PPO
73,36.22727272727273,74,PPO
74,35.5,75,PPO
75,37.31818181818182,76,PPO
76,38.22727272727273,77,PPO
77,35.86363636363637,78,PPO
78,37.5,79,PPO
79,37.13636363636363,80,PPO
80,35.68181818181818,81,PPO
81,35.68181818181818,82,PPO
82,39.5,83,PPO
83,37.31818181818182,84,PPO
84,36.59090909090909,85,PPO
85,37.13636363636363,86,PPO
86,34.59090909090909,87,PPO
87,32.77272727272727,88,PPO
88,32.59090909090909,89,PPO
89,31.681818181818183,90,PPO
90,33.31818181818182,91,PPO
91,36.22727272727273,92,PPO
92,36.22727272727273,93,PPO
93,33.86363636363637,94,PPO
94,37.5,95,PPO
95,39.68181818181818,96,PPO
96,42.22727272727273,97,PPO
97,41.68181818181818,98,PPO
98,41.5,99,PPO
99,42.04545454545455,100,PPO
100,44.77272727272727,101,PPO
101,40.22727272727273,102,PPO
102,36.95454545454545,103,PPO
103,38.59090909090909,104,PPO
104,36.59090909090909,105,PPO
105,34.95454545454545,106,PPO
106,31.318181818181817,107,PPO
107,30.40909090909091,108,PPO
108,32.77272727272727,109,PPO
109,34.40909090909091,110,PPO
110,32.04545454545455,111,PPO
111,30.40909090909091,112,PPO
112,32.77272727272727,113,PPO
113,31.863636363636363,114,PPO
114,29.863636363636363,115,PPO
115,30.954545454545453,116,PPO
116,31.5,117,PPO
117,34.77272727272727,118,PPO
118,34.59090909090909,119,PPO
119,32.22727272727273,120,PPO
120,31.681818181818183,121,PPO
121,31.5,122,PPO
122,28.772727272727273,123,PPO
123,28.227272727272727,124,PPO
124,30.954545454545453,125,PPO
125,31.136363636363637,126,PPO
126,29.136363636363637,127,PPO
127,26.954545454545453,128,PPO
128,28.227272727272727,129,PPO
129,34.22727272727273,130,PPO
130,35.68181818181818,131,PPO
131,35.5,132,PPO
132,39.5,133,PPO
133,42.04545454545455,134,PPO
134,44.95454545454545,135,PPO
135,43.5,136,PPO
136,45.31818181818182,137,PPO
137,49.13636363636363,138,PPO
138,51.31818181818182,139,PPO
139,49.68181818181818,140,PPO
140,43.5,141,PPO
141,41.13636363636363,142,PPO
142,41.31818181818182,143,PPO
143,40.77272727272727,144,PPO
144,41.86363636363637,145,PPO
145,38.95454545454545,146,PPO
146,38.40909090909091,147,PPO
147,37.86363636363637,148,PPO
148,35.31818181818182,149,PPO
149,36.40909090909091,150,PPO
150,34.22727272727273,151,PPO
151,34.77272727272727,152,PPO
152,36.77272727272727,153,PPO
153,38.40909090909091,154,PPO
154,39.13636363636363,155,PPO
155,40.40909090909091,156,PPO
156,40.40909090909091,157,PPO
157,42.40909090909091,158,PPO
158,42.95454545454545,159,PPO
159,45.13636363636363,160,PPO
160,44.40909090909091,161,PPO
161,46.22727272727273,162,PPO
162,46.59090909090909,163,PPO
163,48.77272727272727,164,PPO
164,46.77272727272727,165,PPO
165,44.59090909090909,166,PPO
166,40.04545454545455,167,PPO
167,40.22727272727273,168,PPO
168,36.04545454545455,169,PPO
169,35.86363636363637,170,PPO
170,33.86363636363637,171,PPO
171,31.681818181818183,172,PPO
172,31.863636363636363,173,PPO
173,28.954545454545453,174,PPO
174,24.954545454545453,175,PPO
175,23.863636363636363,176,PPO
176,24.40909090909091,177,PPO
177,26.045454545454547,178,PPO
178,25.863636363636363,179,PPO
179,29.863636363636363,180,PPO
180,32.22727272727273,181,PPO
181,33.68181818181818,182,PPO
182,35.5,183,PPO
183,38.04545454545455,184,PPO
184,38.40909090909091,185,PPO
185,38.95454545454545,186,PPO
186,38.95454545454545,187,PPO
187,38.77272727272727,188,PPO
188,38.95454545454545,189,PPO
189,39.5,190,PPO
190,38.95454545454545,191,PPO
191,34.95454545454545,192,PPO
192,34.22727272727273,193,PPO
193,31.681818181818183,194,PPO
194,29.5,195,PPO
195,31.944444444444443,196,PPO
196,31.5,197,PPO
197,30.7,198,PPO
198,30.166666666666668,199,PPO
199,35.5,200,PPO
